station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,original_duration_s
SAV,"HGZ, HGN, HGE",5280.0,6508.0,26.4,32.54,0.7251107692718506,0.48677417635917664,115.005
REVF,"HNZ, HN1, HN2",12282.0,14724.0,61.41,73.62,0.8238242864608765,0.02106889896094799,240.0
EILF,"HNZ, HNN, HNE",12092.0,14858.0,60.46,74.29,0.7031739354133606,0.04130071774125099,240.0
BHB,"HNZ, HNN, HNE",4086.0,5228.0,20.43,26.14,0.9313291907310486,0.7071151733398438,83.005
OGAG,"HNZ, HNN, HNE",12552.0,13542.0,62.76,67.71,0.7473662495613098,0.21661168336868286,240.0
SPIF,"HNZ, HNN, HNE",12444.0,13876.0,62.22,69.38,0.907098114490509,0.42300334572792053,280.0
OGMO,"HNZ, HNN, HNE",12218.0,14184.0,61.09,70.92,0.7545983791351318,0.1520860344171524,240.0
CAGN,"HNZ, HNN, HNE",12314.0,14630.0,61.57,73.15,0.7380492687225342,0.014313464052975178,240.0
MVIF,"HNZ, HNN, HNE",12254.0,14046.0,61.27,70.23,0.7161642909049988,0.1585613340139389,240.0
OGSA,"HNZ, HNN, HNE",12268.0,14042.0,61.34,70.21,0.4549069404602051,0.12390187382698059,240.0
ISO,"HNZ, HNN, HNE",12560.0,13474.0,62.8,67.37,0.9103888869285583,0.505914568901062,240.0
BRZ,"HGZ, HGN, HGE",2448.0,2930.0,12.24,14.65,0.9648635983467102,0.8762940764427185,55.005
CRI,"HNZ, HNN, HNE",5340.0,6156.0,26.7,30.78,0.9653609395027161,0.739078164100647,95.005
MFC,"HNZ, HNN, HNE",12306.0,13746.0,61.53,68.73,0.9267011284828186,0.1629229038953781,240.0
SAOF,"HNZ, HNN, HNE",12374.0,14270.0,61.87,71.35,0.8432608246803284,0.35835424065589905,240.0
OGS3,"HNZ, HNN, HNE",12036.0,14440.0,60.18,72.2,0.5311815142631531,0.12950517237186432,240.0
OGDI,"HNZ, HNN, HNE",12468.0,14130.0,62.34,70.65,0.5250024795532227,0.31820812821388245,240.0
SLZ,"HNZ, HNN, HNE",5298.0,6646.0,26.49,33.23,0.9444783329963684,0.3291179835796356,100.005
MENA,"HNZ, HNN, HNE",12312.0,14718.0,61.56,73.59,0.9522101879119873,0.22382694482803345,240.0
ESCA,"HNZ, HNN, HNE",12354.0,14420.0,61.77,72.1,0.8158579468727112,0.5406185984611511,240.0
